,Date,Daily_sentiment
4137,2020-05-28,0
4142,2020-05-27,0
4147,2020-05-26,0
4152,2020-05-25,0
4157,2020-05-24,0
4162,2020-05-23,0
4167,2020-05-22,0
4172,2020-05-21,0
4177,2020-05-20,0
4182,2020-05-19,0
4187,2020-05-18,0
4192,2020-05-17,0
4197,2020-05-16,1
4202,2020-05-15,0
4207,2020-05-14,1
4212,2020-05-13,0
4217,2020-05-12,0
4222,2020-05-11,0
4227,2020-05-10,0
4232,2020-05-09,0
4237,2020-05-08,0
4242,2020-05-07,0
4247,2020-05-06,1
4252,2020-05-05,0
4257,2020-05-04,0
4262,2020-05-03,0
4267,2020-05-02,1
4272,2020-05-01,0
4277,2020-04-30,0
4282,2020-04-29,0
4287,2020-04-28,0
4292,2020-04-27,0
4297,2020-04-26,0
4302,2020-04-25,0
4307,2020-04-24,0
4312,2020-04-23,0
4317,2020-04-22,0
4322,2020-04-21,0
4327,2020-04-20,1
4332,2020-04-19,0
4337,2020-04-18,1
4342,2020-04-17,-1
4347,2020-04-16,0
4352,2020-04-15,0
4357,2020-04-14,0
4362,2020-04-13,0
4367,2020-04-12,-1
4372,2020-04-11,0
4377,2020-04-10,1
4382,2020-04-09,0
4387,2020-04-08,1
4392,2020-04-07,0
4397,2020-04-06,0
4402,2020-04-05,0
4407,2020-04-04,0
4412,2020-04-03,0
4417,2020-04-02,0
4422,2020-04-01,0
4427,2020-03-31,0
4432,2020-03-30,0
4437,2020-03-29,0
4442,2020-03-28,0
4447,2020-03-27,0
4452,2020-03-26,1
4457,2020-03-25,0
4462,2020-03-24,0
4467,2020-03-23,0
4472,2020-03-22,0
4477,2020-03-21,0
4482,2020-03-20,0
4487,2020-03-19,0
4492,2020-03-18,0
4497,2020-03-17,0
4502,2020-03-16,0
4507,2020-03-15,0
4512,2020-03-14,0
4517,2020-03-13,1
4522,2020-03-12,0
4527,2020-03-11,0
4532,2020-03-10,0
4537,2020-03-09,0
4542,2020-03-08,0
4547,2020-03-07,0
4552,2020-03-06,0
4557,2020-03-05,0
4562,2020-03-04,0
4567,2020-03-03,1
4572,2020-03-02,0
4577,2020-03-01,1
4582,2020-02-29,0
4587,2020-02-28,0
4592,2020-02-27,0
4597,2020-02-26,0
4602,2020-02-25,0
4607,2020-02-24,0
4612,2020-02-23,0
4617,2020-02-22,0
4622,2020-02-21,1
4627,2020-02-20,0
4632,2020-02-19,0
4637,2020-02-18,0
4642,2020-02-17,0
4647,2020-02-16,0
4652,2020-02-15,0
4657,2020-02-14,1
4662,2020-02-13,0
4667,2020-02-12,0
4672,2020-02-11,1
4677,2020-02-10,0
4682,2020-02-09,0
4687,2020-02-08,0
4692,2020-02-07,0
4697,2020-02-06,0
4702,2020-02-05,0
4707,2020-02-04,0
4712,2020-02-03,0
4717,2020-02-02,0
4722,2020-02-01,0
4727,2020-01-31,0
4732,2020-01-30,1
4737,2020-01-29,0
4742,2020-01-28,0
4747,2020-01-27,0
4752,2020-01-26,1
4757,2020-01-25,1
4762,2020-01-24,1
4767,2020-01-23,0
4772,2020-01-22,0
4777,2020-01-21,1
4782,2020-01-20,0
4787,2020-01-19,1
4792,2020-01-18,0
4797,2020-01-17,0
4802,2020-01-16,1
4807,2020-01-15,0
4812,2020-01-14,1
4817,2020-01-13,0
4822,2020-01-12,0
4827,2020-01-11,1
4832,2020-01-10,1
4837,2020-01-09,0
4842,2020-01-08,0
4847,2020-01-07,0
4852,2020-01-06,0
4857,2020-01-05,0
4862,2020-01-04,0
4867,2020-01-03,-1
4872,2020-01-02,0
4877,2020-01-01,1
4882,2019-12-31,1
4887,2019-12-30,1
4892,2019-12-29,0
4897,2019-12-28,0
4902,2019-12-27,1
4907,2019-12-26,0
4912,2019-12-25,0
4917,2019-12-24,0
4922,2019-12-23,0
4927,2019-12-22,0
4932,2019-12-21,0
4937,2019-12-20,0
4942,2019-12-19,-1
4947,2019-12-18,0
4952,2019-12-17,0
4957,2019-12-16,0
4962,2019-12-15,0
4967,2019-12-14,0
4972,2019-12-13,1
4977,2019-12-12,0
4982,2019-12-11,0
4987,2019-12-10,0
4992,2019-12-09,0
4997,2019-12-08,0
5002,2019-12-07,0
5007,2019-12-06,0
5012,2019-12-05,0
5017,2019-12-04,1
5022,2019-12-03,0
5027,2019-12-02,0
5032,2019-12-01,0
5037,2019-11-30,0
5042,2019-11-29,0
5047,2019-11-28,0
5052,2019-11-27,0
5057,2019-11-26,1
5062,2019-11-25,0
5067,2019-11-24,0
5072,2019-11-23,0
5077,2019-11-22,0
5082,2019-11-21,0
5087,2019-11-20,0
5092,2019-11-19,0
5097,2019-11-18,0
5102,2019-11-17,0
5106,2019-11-16,0
5111,2019-11-15,1
5116,2019-11-14,0
5121,2019-11-13,0
5126,2019-11-12,1
5131,2019-11-11,0
5136,2019-11-10,1
5141,2019-11-09,1
5146,2019-11-08,0
5151,2019-11-07,0
5156,2019-11-06,0
5161,2019-11-05,0
5166,2019-11-04,0
5171,2019-11-03,0
5176,2019-11-02,0
5181,2019-11-01,0
5186,2019-10-31,0
5191,2019-10-30,0
5196,2019-10-29,0
5201,2019-10-28,1
5206,2019-10-27,0
5211,2019-10-26,1
5216,2019-10-25,0
5221,2019-10-24,0
5226,2019-10-23,0
5231,2019-10-22,0
5236,2019-10-21,0
5241,2019-10-20,0
5246,2019-10-19,0
5251,2019-10-18,0
5256,2019-10-17,0
5261,2019-10-16,1
5266,2019-10-15,0
5271,2019-10-14,0
5276,2019-10-13,0
5281,2019-10-12,0
5286,2019-10-11,0
